businessname,dbaname,legalowner,namelast,namefirst,licenseno,issdttm,expdttm,licstatus,licensecat,descript,result,resultdttm,violation,viollevel,violdesc,violdttm,violstatus,statusdate,comments,address,city,state,zip,property_id,location
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2013-10-24 11:18:12,16-4-501.11/.15,*,Dishwashng Facilities,2013-10-24 11:18:12,Fail,,Provide sink plugs for sink behind service bar.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2013-10-24 11:18:12,32-6-301.11-02.11,*,Hand Cleaner  Drying  Tissue Signage,2013-10-24 11:18:12,Fail,,Provide dispenser for paper towels.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2013-10-24 11:18:12,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,2013-10-24 11:18:12,Fail,,Exhausthood sticker not visible  provide current documentation on exhausthood cleaning.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-06-19 14:58:18,29-5-201/02.11,*,Installed and Maintained,2014-06-19 14:58:18,Fail,,Repair loose pipe below hand sink behind beverage bar.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-06-19 14:58:18,36-6-501.11-.12,*,Improper Maintenance of Floors,2014-06-19 14:58:18,Fail,,Replace missing floor tiles at entrance to kitchen.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2014-06-19 14:58:18,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,2014-06-19 14:58:18,Fail,,Paint wall for storage.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2015-07-27 14:22:38,08-3-302.11/3-304.11,***,Separation  Segregation Cross Contamination,2015-07-27 14:22:38,Fail,,Observed raw chicken stored over ready to eat product.Provide proper storage of raw and ready to eat products.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2015-07-27 14:22:38,08-3-305-307.11,*,Food Protection,2015-07-27 14:22:38,Fail,,Closet next to microwave with pots stored on the floor.Discontinue.Store clean pots at least 6 inches off the floor,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2015-07-27 14:22:38,08-3-305-307.11,*,Food Protection,2015-07-27 14:22:38,Fail,,Observed buckets of food products stored directly on the floor.Maintain storage at least 6 inches of the floor.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2015-07-27 14:22:38,17-4-204.112/.115,*,Equipment Thermometers,2015-07-27 14:22:38,Fail,,Provide working internal thermometers for all refrigeration.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2015-07-27 14:22:38,17-4-302.14,*,Test Kit Provided,2015-07-27 14:22:38,Fail,,Provide chlorine test kit for 3 bay sink,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2015-07-27 14:22:38,21-3-304.14,*,Wiping Cloths  Clean  Sanitize,2015-07-27 14:22:38,Fail,,Provide proper sanitizer solution to store in use wiping cloths.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2015-07-27 14:22:38,29-5-201/02.11,*,Installed and Maintained,2015-07-27 14:22:38,Fail,, ,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2015-07-27 14:22:38,29-5-201/02.11,*,Installed and Maintained,2015-07-27 14:22:38,Fail,,Hand sink leaking.PIC states it is in the process of being fixed at the time of inspection.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2015-07-27 14:22:38,29-5-201/02.11,*,Installed and Maintained,2015-07-27 14:22:38,Fail,,Provide new battery for faucet water trickling out.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2015-07-27 14:22:38,32-6-301.11-02.11,*,Hand Cleaner  Drying  Tissue Signage,2015-07-27 14:22:38,Fail,,Provide all handsinks with soap and paper towels at all times for proper handwashing.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2015-07-27 14:22:38,33-5-501.13-.17,*,Adequate Number  Frequency Vermin Proof,2015-07-27 14:22:38,Fail,,Provide covered trash recepticle,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2015-07-27 14:22:38,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,2015-07-27 14:22:38,Fail,,Hood filter area with grease build up.Clean to remove,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2015-07-27 14:22:38,38-6-303.11,*,Inadequate Lighting,2015-07-27 14:22:38,Fail,,3 lightbulbs burnt out.Replace,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-03-18 11:46:36,02-3-602.11-.12/3-302.12,*,Food Container Labels,2016-03-18 11:46:36,Fail,,Provide labels for bulk food containers that are missing.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-03-18 11:46:36,08-3-302.11/3-304.11,***,Separation  Segregation Cross Contamination,2016-03-18 11:46:36,Fail,,Raw chicken and fish stored with cooked foods. Discontinue and store foods properly as discussed.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-03-18 11:46:36,08-3-305-307.11,*,Food Protection,2016-03-18 11:46:36,Fail,,Provide tight fitting covers for food in storeage. Found containers in walk in with no covers or covers that did not fit (to small).,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-03-18 11:46:36,14-4-202.11,*,Food Contact Surfaces Design,2016-03-18 11:46:36,Fail,,Clean or replace cutting boards that have deep dark scores or are chipping.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-03-18 11:46:36,16-4-501.11/.15,*,Dishwashng Facilities,2016-03-18 11:46:36,Fail,,Provide an area to store soiled equipment. Discontinue to store in all three bays.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-03-18 11:46:36,23-4-602.13,*,Non-Food Contact Surfaces Clean,2016-03-18 11:46:36,Fail,,Clean shelves in kitchen and walk in. Visibly soiled.  Clean exterior of bulk food cantainers visibly soiled.  Clean interior and exterior of refrigerators and freezer of dry food and ice build up.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-03-18 11:46:36,24-4-903.11,*,Clean Equipment & Utensils Storage,2016-03-18 11:46:36,Fail,,Clean strainers and tongs stored between wall and the back of the three bay sink. Discontinue. Store properly.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-03-18 11:46:36,31-5-204/05.11,***,Location  Accessible,2016-03-18 11:46:36,Fail,,Two hand sinks in kitchen. One blocked with a blender and the other with a trash barrle and strainer. Discontinue to block so that staff will wash hand more often. Address with staff.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-03-18 11:46:36,32-6-301.11-02.11,*,Hand Cleaner  Drying  Tissue Signage,2016-03-18 11:46:36,Fail,,Provide soap and paper towels at all hand sinks.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2018-05-17 09:37:37,17-4-204.112/.115,*,Equipment Thermometers,2018-05-17 09:37:37,Fail,,repair walkin thermometer wall unit.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-03-18 11:46:36,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,2016-03-18 11:46:36,Fail,,Clean hood filters on cooking line. Visibibly soiled.  Repair ceiling in bacement walk in refrigertator. Some of ceiling missing. Address Clean fan covers on condencer fans in walk ins.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-09-27 12:08:21,02-3-602.11-.12/3-302.12,*,Food Container Labels,2016-09-27 12:08:21,Fail,,Properly labels all bulk food containers. If a product is taken out of its original package new container must be labeled. Bulk rice.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-09-27 12:08:21,03-3-501.16,***,Hot Holding,2016-09-27 12:08:21,Fail,,White rice at 100F  pork dish 87F and plantains 85F. PIC removed and will reheat to above 165F. Monitor holding temperature with staff.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-09-27 12:08:21,08-3-302.11/3-304.11,***,Separation  Segregation Cross Contamination,2016-09-27 12:08:21,Fail,,Raw chicken stored above Raw pork and other cooked foods. Raw whole eggs stored above fruits and vegetables. PIC need to properly store foods as discussed.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-09-27 12:08:21,08-3-305-307.11,*,Food Protection,2016-09-27 12:08:21,Fail,,Discontinue to store food containers on the floor in the walk in under shelves. Must be 6 inches off the floor.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-09-27 12:08:21,14-4-202.11,*,Food Contact Surfaces Design,2016-09-27 12:08:21,Fail,,Replace yellow cutting board in kicthen and any others that have deep dark scores and stains.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-09-27 12:08:21,17-4-302.14,*,Test Kit Provided,2016-09-27 12:08:21,Fail,,Provide a test kit.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-09-27 12:08:21,23-4-602.13,*,Non-Food Contact Surfaces Clean,2016-09-27 12:08:21,Fail,,Clean interior and exterior of refrigerators and freezers in kitchen and basement storage. Visibly soiled.  Clean shelves in kitchen and warewashing area. Visibly soiled.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-09-27 12:08:21,29-5-201/02.11,*,Installed and Maintained,2016-09-27 12:08:21,Fail,,Three bay sink in the wash bay leaking. Fauset at three bay leaking and handle for hot water on hand sink loose. PIC has a plumber working on the problem and will be back in 30 mins with parts to make repairs.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-09-27 12:08:21,36-6-501.11-.12,*,Improper Maintenance of Floors,2016-09-27 12:08:21,Fail,,Clean floor under and behind equipment in kitchen.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-09-27 12:08:21,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,2016-09-27 12:08:21,Fail,,Clean walls and ceiling of the walk in in the basement. Visibly soiled with mold. Clean and repair seiling in kitchen above prep area were soiled and falling apart.  Repair any ceiling tile falling down in walk in in basement.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2016-09-27 12:08:21,M-2-103.11,***,PIC Performing Duties,2016-09-27 12:08:21,Fail,,PIC need to monitor staff for proper food storage  holding and reheating temperatures and general cleaning and repairs.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2017-04-25 11:57:59,02-3-602.11-.12/3-302.12,*,Food Container Labels,2017-04-25 11:57:59,Fail,,Label all bulk food containers.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2017-04-25 11:57:59,03-3-501.14,***,Cooling,2017-04-25 11:57:59,Fail,,Certified Food Safety staff member will need to review with all cooking staff proper way to cool. I found cooked turkey in walk in between 46F and 49F. PIC voluntarily discarded. PIC will need review.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2017-04-25 11:57:59,08-3-302.11/3-304.11,***,Separation  Segregation Cross Contamination,2017-04-25 11:57:59,Fail,,Raw foods stored above cooked foods in walk in refrigerator. Discontinue and store properly as discuused.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2017-04-25 11:57:59,08-3-305-307.11,*,Food Protection,2017-04-25 11:57:59,Fail,,All food in storage must have a cover.  Discontinue to cover hot cooked food with plastic nonfood grade bags. Bag will melt as discussed.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2017-04-25 11:57:59,15-4-202.16,*,Non-Food Contact Surfaces,2017-04-25 11:57:59,Fail,,Paint wood shelf on cooking line under all the spices or replace with a smooth  cleanable surface.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2017-04-25 11:57:59,16-4-501.11/.15,*,Dishwashng Facilities,2017-04-25 11:57:59,Fail,,Low temperature dishwasher not working properly at this time. Staff member stated that it works sometimes. Have dishwasher repaired and provide a test kit for staff to check each day.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2017-04-25 11:57:59,17-4-302.14,*,Test Kit Provided,2017-04-25 11:57:59,Fail,,Provide test kit for sanitizer being used in three bay sink.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2017-04-25 11:57:59,23-4-602.13,*,Non-Food Contact Surfaces Clean,2017-04-25 11:57:59,Fail,,Clean interior and exterior of all refrigeration equipment. Visibly soiled with dry food build up and ice build up.  Clean all shelves in kitchen  walk n refrigerator  basement storage shelves and warewashing. Visibly soiled with dry food build up.  Clean shelves in basement of all mouse dropping.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2017-04-25 11:57:59,36-6-501.11-.12,*,Improper Maintenance of Floors,2017-04-25 11:57:59,Fail,,Repair / patch holes in floor in basement floor. This will help with any pest issues. Clean floor in basement. Visibly soiled with old mouse droppings.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2017-04-25 11:57:59,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,2017-04-25 11:57:59,Fail,,Repair ceiling falling down in walk in refrigerator. This was a issue at last inspection and was told it will be repaired. Have ceiling repaired at reinspection or provide paperwork with a date to when it will be done.  Clean walls in walk n in basement. Visibly soiled.  Clean fan covers in basement walk in. Visibly soiled.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
100 Percent Delicia Food,,BRENNAN PATRICK E,Marte,Civelis,87059,2013-04-05 12:47:23,2020-12-31 23:59:00,Active,FS,Eating & Drinking,HE_Fail,2017-04-25 11:57:59,42-6-501.113/.114,*,Premises Maintained,2017-04-25 11:57:59,Fail,,Basement is full of all types of items. This would make it difficult for pest control inspect amd provide harborage for pest. Clean to remove items.,635   Hyde Park AVE,Roslindale,MA,02131,77476,"(42.278590000, -71.119440000)"
